comment_ID,issue_no,is_author,ld_label,word_divergence,involve_contributor_num,other_commenter,commenter_num,comment_num,reporter_response,self_repsonse,other_response,time_from_start,time_to_close,response_time,ld_num,ld_types,LD1,LD2,LD3,LD4,LD5,LD6
777185607,21143,,LD1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
776333336,21132,,LD1,0.637168142,0,0,2,3,2,1,0,1,1,11948,1,1,1,0,0,0,0,0
776415052,21132,Y,,0.781818182,1,1,2,2,1,1,1,1,1,221,1,1,1,0,0,0,0,0
776416162,21132,,LD1,0.857142857,0,0,1,1,1,0,0,1,1,2435,0,0,0,0,0,0,0,0
776427979,21132,Y,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
776528540,21132,,LD1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
776229202,21131,,N,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
776230066,21131,,LD4,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
775266696,21118,,LD2,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
775068998,21113,,N,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
776018886,21108,,N,0.666666667,0,0,1,2,2,0,0,2,3,63078,0,0,0,0,0,0,0,0
776547273,21108,Y,,1,0,0,1,1,1,1,0,3,2,,0,0,0,0,0,0,0,0
776548143,21108,Y,,0,0,0,0,0,0,0,0,3,2,,0,0,0,0,0,0,0,0
777700650,21108,,LD5,0,0,0,0,0,0,0,0,4,0,,0,0,0,0,0,0,0,0
774508318,21095,,LD4,0.51618705,0,0,2,6,4,2,0,1,1,126,0,0,0,0,0,0,0,0
774508644,21095,Y,,0.532394366,0,2,2,5,3,3,2,1,1,791,0,0,0,0,0,0,0,0
774510576,21095,,N,0.565836299,0,0,2,4,3,1,0,1,1,153,0,0,0,0,0,0,0,0
774510934,21095,Y,,0.643564356,0,1,2,3,2,2,1,1,1,451,0,0,0,0,0,0,0,0
774511117,21095,Y,,0.658385093,0,1,2,2,1,1,1,1,1,387,0,0,0,0,0,0,0,0
774511976,21095,,N,0.857142857,0,0,1,1,1,0,0,1,1,469,0,0,0,0,0,0,0,0
774513126,21095,Y,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
774528812,21095,Y,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
774496019,21094,,LD2,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
774526384,21092,,LD3,0.692307692,2,2,2,2,0,0,2,1,4,5761,2,1,0,0,2,0,0,0
774540603,21092,,LD3,0.726190476,1,1,1,1,0,0,1,1,4,9195,1,1,0,0,1,0,0,0
774558018,21092,,LD3,0,0,0,0,0,0,0,0,1,4,,0,0,0,0,0,0,0,0
772745666,21076,,N,0.825,2,2,2,2,0,0,2,1,1,420,1,1,0,0,0,1,0,0
772749891,21076,,LD4,0.824324324,1,1,1,1,0,0,1,1,1,265,0,0,0,0,0,0,0,0
772752659,21076,,N,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
772269290,21072,Y,,0.88,1,1,1,1,0,0,1,1,1,1684,0,0,0,0,0,0,0,0
772282879,21072,,N,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
772355276,21072,Y,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
772286294,21069,,LD4,0.836363636,0,0,2,2,1,1,0,1,1,17956,1,1,1,0,0,0,0,0
772458873,21069,Y,,0.95,1,1,1,1,0,0,1,1,1,2676,1,1,1,0,0,0,0,0
772483318,21069,,LD1,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
771101939,21057,,LD5,0.852941176,1,1,1,1,0,0,1,1,1,6461,0,0,0,0,0,0,0,0
771165558,21057,,N,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
771515081,21057,,LD5,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
770706361,21050,,LD2,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
770534844,21048,,LD2,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
770529201,21047,,N,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
770525757,21046,,LD5,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
768836891,21019,,N,0.825396825,0,0,2,2,1,1,0,1,3,12198,1,1,0,0,0,1,0,0
768837503,21019,,LD4,0.918367347,0,0,1,1,1,0,0,1,3,12122,0,0,0,0,0,0,0,0
768943580,21019,Y,,0,0,0,0,0,0,0,0,1,3,,0,0,0,0,0,0,0,0
769762600,21019,,LD4,0.384500745,2,2,3,7,5,0,2,2,2,14744,1,1,0,0,1,0,0,0
769893168,21019,Y,,0.437340153,2,2,3,6,4,4,2,2,1,482,1,1,0,0,1,0,0,0
769898006,21019,,LD3,0.459064327,1,1,2,5,4,0,1,2,1,194,0,0,0,0,0,0,0,0
769899971,21019,Y,,0.455737705,1,1,2,4,3,3,1,2,1,58189,0,0,0,0,0,0,0,0
769909449,21019,Y,,0.50990099,1,1,2,3,2,2,1,2,1,57201,0,0,0,0,0,0,0,0
769939189,21019,Y,,0.547297297,1,1,2,2,1,1,1,2,1,54015,0,0,0,0,0,0,0,0
769977930,21019,Y,,1,1,1,1,1,0,0,1,2,1,49550,0,0,0,0,0,0,0,0
770177026,21019,,N,0,0,0,0,0,0,0,0,3,1,,0,0,0,0,0,0,0,0
770208948,21019,Y,,0,0,0,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,0
767560717,21013,,LD2,0.653631285,2,2,2,5,3,0,2,1,13,255,1,1,1,0,0,0,0,0
767563386,21013,Y,,0.670520231,2,2,2,4,2,2,2,1,13,704,1,1,1,0,0,0,0,0
767570879,21013,,N,0.683870968,0,0,2,3,2,1,0,1,13,116,1,1,1,0,0,0,0,0
767572036,21013,Y,,0.685314685,1,1,2,2,1,1,1,1,13,500,1,1,1,0,0,0,0,0
767577523,21013,,LD1,0.758064516,0,0,1,1,1,0,0,1,13,2868,0,0,0,0,0,0,0,0
767612038,21013,Y,,0,0,0,0,0,0,0,0,1,13,,0,0,0,0,0,0,0,0
775089963,21013,,LD5,0,0,0,0,0,0,0,0,13,0,,0,0,0,0,0,0,0,0
766175200,20996,Y,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
766179556,20996,,LD2,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
765873258,20990,,N,0.605555556,2,2,3,4,2,0,2,1,7,2375,1,1,0,0,1,0,0,0
765877553,20990,,LD3,0.601156069,1,1,2,3,2,0,1,1,7,7696,0,0,0,0,0,0,0,0
765889894,20990,Y,,0.684684685,1,1,2,2,1,1,1,1,7,11863,0,0,0,0,0,0,0,0
765912826,20990,,N,0.71875,0,0,1,1,1,0,0,1,6,2845,0,0,0,0,0,0,0,0
765975343,20990,Y,,0,0,0,0,0,0,0,0,1,6,,0,0,0,0,0,0,0,0
769584987,20990,,LD3,0.870967742,1,1,1,1,0,0,1,7,1,18866,1,1,0,0,1,0,0,0
769728024,20990,,LD3,0,0,0,0,0,0,0,0,7,1,,0,0,0,0,0,0,0,0
769730027,20990,,LD5,0,0,0,0,0,0,0,0,7,0,,0,0,0,0,0,0,0,0
764938150,20982,,N,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
764844762,20979,,N,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0
763954817,20973,,LD5,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0
